founder_location,education_level,funding_access,gender,patent_novelty,research_support,market_demand,competitor_density,team_experience,feasibility_label
0,0,0,1,42.0,48.0,55.0,97.0,87.0,0
0,0,0,0,76.0,72.0,42.0,95.0,90.0,0
1,1,0,1,77.0,88.0,87.0,87.0,28.0,1
0,0,0,0,33.0,35.0,47.0,51.0,35.0,0
0,1,0,0,39.0,74.0,96.0,54.0,24.0,0
1,0,0,1,49.0,13.0,32.0,53.0,42.0,0
0,1,0,0,38.0,38.0,84.0,42.0,62.0,0
1,0,1,0,72.0,10.0,87.0,69.0,76.0,1
0,1,0,0,75.0,59.0,92.0,95.0,70.0,0
1,0,0,1,96.0,95.0,81.0,92.0,32.0,1
1,0,1,1,42.0,20.0,53.0,92.0,43.0,0
0,0,0,1,81.0,83.0,38.0,79.0,30.0,0
0,1,0,0,52.0,68.0,66.0,92.0,71.0,0
1,1,0,1,37.0,71.0,82.0,86.0,36.0,0
1,0,0,1,92.0,90.0,53.0,35.0,56.0,1
1,0,1,1,52.0,45.0,50.0,95.0,32.0,0
1,0,1,1,51.0,65.0,69.0,30.0,81.0,1
0,1,0,0,80.0,99.0,91.0,11.0,27.0,1
0,1,0,1,73.0,30.0,99.0,56.0,75.0,1
0,0,1,1,36.0,22.0,98.0,39.0,89.0,1
1,0,1,1,38.0,18.0,43.0,36.0,63.0,0
1,0,1,1,89.0,20.0,71.0,80.0,79.0,1
0,0,0,1,53.0,84.0,79.0,29.0,60.0,0
0,0,0,1,44.0,79.0,90.0,59.0,40.0,0
0,1,1,1,87.0,10.0,33.0,32.0,61.0,1
0,0,0,1,93.0,79.0,46.0,22.0,93.0,1
1,1,0,1,93.0,86.0,86.0,90.0,93.0,1
1,0,0,0,30.0,95.0,77.0,13.0,48.0,0
1,0,0,1,35.0,65.0,73.0,23.0,99.0,1
1,1,0,1,80.0,40.0,74.0,29.0,84.0,1
0,1,0,1,99.0,95.0,62.0,22.0,36.0,1
1,1,1,0,26.0,46.0,60.0,12.0,49.0,1
1,0,0,1,35.0,56.0,76.0,99.0,45.0,0
1,0,1,1,35.0,87.0,35.0,99.0,72.0,0
1,1,0,1,59.0,56.0,63.0,91.0,38.0,0
1,0,0,1,31.0,78.0,82.0,87.0,72.0,0
1,0,1,1,54.0,67.0,43.0,56.0,36.0,1
1,0,0,0,40.0,45.0,45.0,12.0,65.0,0
0,0,0,1,69.0,41.0,72.0,10.0,72.0,0
0,1,0,0,62.0,73.0,41.0,99.0,83.0,0
0,0,0,0,36.0,80.0,99.0,33.0,64.0,0
1,0,1,1,51.0,51.0,48.0,44.0,68.0,1
0,0,1,1,60.0,57.0,70.0,23.0,38.0,1
1,0,0,1,25.0,83.0,82.0,76.0,90.0,1
1,0,0,1,46.0,90.0,58.0,22.0,84.0,1
0,0,0,1,39.0,39.0,99.0,56.0,56.0,0
1,0,1,1,44.0,30.0,88.0,59.0,89.0,1
1,1,0,0,85.0,69.0,93.0,87.0,45.0,1
0,0,0,1,28.0,22.0,53.0,94.0,21.0,0
0,0,0,1,72.0,10.0,45.0,35.0,78.0,0
0,1,0,1,80.0,74.0,81.0,12.0,24.0,1
0,1,0,0,57.0,42.0,35.0,60.0,56.0,0
1,0,1,1,22.0,47.0,66.0,49.0,50.0,0
1,0,0,0,89.0,34.0,33.0,77.0,95.0,0
1,0,0,0,74.0,35.0,67.0,45.0,67.0,0
1,1,1,1,20.0,86.0,70.0,60.0,25.0,1
1,1,1,1,89.0,68.0,43.0,10.0,34.0,1
0,1,0,1,64.0,42.0,80.0,42.0,34.0,0
1,0,0,1,66.0,50.0,94.0,16.0,80.0,1
1,1,0,1,98.0,39.0,81.0,61.0,35.0,1
1,0,0,1,45.0,66.0,59.0,20.0,39.0,0
1,0,0,1,33.0,58.0,86.0,36.0,96.0,1
0,0,0,0,73.0,57.0,59.0,23.0,63.0,0
0,1,0,1,90.0,81.0,71.0,95.0,61.0,1
0,0,1,1,65.0,58.0,40.0,89.0,65.0,0
1,1,0,1,50.0,56.0,56.0,55.0,53.0,1
1,0,0,1,78.0,65.0,53.0,85.0,83.0,0
1,0,0,1,48.0,74.0,68.0,19.0,48.0,1
0,0,1,1,36.0,21.0,47.0,33.0,22.0,0
1,0,1,1,33.0,78.0,74.0,70.0,28.0,1
1,1,1,0,55.0,97.0,41.0,27.0,94.0,1
0,0,1,1,77.0,15.0,78.0,95.0,94.0,0
0,1,1,1,43.0,98.0,60.0,18.0,44.0,1
0,1,0,1,82.0,74.0,51.0,26.0,61.0,1
1,1,0,0,44.0,34.0,73.0,67.0,65.0,0
0,0,0,1,78.0,10.0,93.0,22.0,92.0,0
1,0,1,1,51.0,41.0,54.0,59.0,78.0,1
1,0,1,1,37.0,12.0,80.0,15.0,40.0,1
0,1,0,1,56.0,58.0,36.0,94.0,93.0,0
1,1,0,1,45.0,28.0,35.0,60.0,41.0,0
1,0,0,1,28.0,69.0,53.0,45.0,48.0,0
0,1,1,1,83.0,38.0,48.0,80.0,82.0,1
1,0,0,1,91.0,59.0,38.0,34.0,92.0,1
0,1,0,0,39.0,11.0,65.0,20.0,80.0,0
0,0,0,1,73.0,82.0,69.0,53.0,83.0,0
0,1,0,1,49.0,65.0,53.0,23.0,88.0,1
1,0,1,1,72.0,26.0,77.0,38.0,59.0,1
1,1,0,0,82.0,69.0,92.0,83.0,94.0,1
0,1,1,1,30.0,45.0,98.0,59.0,20.0,0
0,1,0,0,50.0,70.0,82.0,14.0,84.0,1
1,0,0,0,68.0,26.0,83.0,81.0,81.0,0
0,0,0,1,38.0,58.0,71.0,78.0,73.0,0
0,0,1,1,31.0,85.0,74.0,97.0,79.0,0
1,0,0,1,34.0,69.0,43.0,66.0,65.0,0
1,0,0,1,50.0,29.0,58.0,35.0,24.0,0
0,1,0,0,62.0,59.0,35.0,15.0,41.0,0
1,0,1,1,56.0,12.0,36.0,25.0,72.0,1
1,0,0,1,98.0,52.0,66.0,69.0,89.0,1
0,0,1,0,48.0,66.0,82.0,21.0,51.0,0
1,0,0,1,45.0,59.0,47.0,84.0,30.0,0
0,1,0,1,21.0,77.0,67.0,12.0,29.0,0
1,0,0,1,34.0,90.0,88.0,72.0,58.0,0
1,1,0,1,23.0,59.0,30.0,73.0,50.0,0
1,0,0,1,69.0,46.0,97.0,71.0,31.0,0
0,1,0,1,57.0,55.0,73.0,15.0,99.0,1
1,1,0,1,42.0,51.0,76.0,28.0,57.0,1
0,0,1,0,78.0,24.0,64.0,27.0,86.0,0
0,1,0,1,94.0,42.0,89.0,89.0,85.0,1
0,0,1,1,47.0,89.0,81.0,96.0,71.0,1
1,1,0,1,85.0,20.0,37.0,52.0,24.0,0
1,0,0,1,27.0,29.0,70.0,82.0,30.0,0
0,1,0,1,48.0,33.0,32.0,12.0,44.0,0
1,1,0,1,30.0,73.0,98.0,81.0,54.0,1
0,1,0,0,37.0,89.0,43.0,47.0,54.0,0
1,1,0,1,74.0,74.0,55.0,77.0,41.0,1
0,0,0,1,69.0,97.0,99.0,85.0,56.0,0
1,0,0,0,33.0,97.0,87.0,53.0,74.0,0
0,0,1,1,93.0,82.0,69.0,98.0,94.0,1
1,0,1,1,28.0,95.0,80.0,89.0,91.0,1
0,1,0,1,30.0,85.0,34.0,72.0,83.0,0
0,0,0,0,82.0,26.0,61.0,51.0,39.0,0
0,1,0,0,95.0,98.0,30.0,73.0,23.0,0
1,1,0,1,86.0,70.0,83.0,63.0,37.0,1
1,1,0,0,72.0,24.0,40.0,87.0,70.0,0
0,0,0,1,58.0,60.0,82.0,86.0,87.0,0
1,1,0,1,97.0,36.0,37.0,80.0,39.0,0
1,1,0,0,75.0,95.0,54.0,85.0,28.0,0
1,0,0,0,47.0,83.0,69.0,46.0,99.0,1
1,1,1,1,94.0,70.0,61.0,13.0,45.0,1
0,1,1,1,58.0,67.0,57.0,11.0,44.0,1
0,0,0,1,44.0,40.0,32.0,53.0,87.0,0
1,0,1,1,40.0,21.0,91.0,76.0,60.0,1
1,0,1,1,29.0,55.0,56.0,77.0,78.0,1
1,0,0,1,62.0,40.0,74.0,85.0,64.0,0
0,0,0,1,34.0,41.0,54.0,92.0,60.0,0
0,0,0,1,67.0,41.0,90.0,83.0,57.0,0
1,0,1,1,40.0,62.0,73.0,71.0,38.0,1
1,0,1,1,79.0,70.0,75.0,10.0,33.0,1
1,1,0,0,69.0,55.0,43.0,26.0,40.0,0
1,0,0,1,42.0,94.0,37.0,25.0,34.0,0
1,1,0,0,32.0,83.0,77.0,18.0,22.0,0
0,0,0,0,88.0,89.0,43.0,62.0,56.0,0
0,0,0,1,23.0,16.0,94.0,82.0,65.0,0
1,0,1,1,97.0,13.0,36.0,68.0,35.0,0
1,0,0,1,91.0,61.0,78.0,18.0,33.0,1
0,0,1,1,28.0,98.0,84.0,21.0,28.0,1
0,1,1,1,54.0,40.0,42.0,50.0,26.0,0
1,0,1,0,40.0,84.0,85.0,24.0,33.0,1
0,1,0,1,77.0,93.0,85.0,75.0,25.0,1
0,1,0,1,37.0,45.0,44.0,84.0,34.0,0
1,0,0,1,91.0,63.0,86.0,20.0,71.0,1
1,0,0,1,62.0,63.0,87.0,17.0,91.0,1
1,1,0,0,25.0,26.0,64.0,64.0,53.0,0
0,0,0,1,97.0,84.0,45.0,15.0,20.0,0
1,0,0,1,86.0,39.0,37.0,62.0,88.0,0
0,1,0,1,31.0,31.0,74.0,29.0,39.0,0
0,0,0,1,31.0,52.0,69.0,48.0,99.0,0
1,1,0,1,85.0,36.0,83.0,81.0,26.0,1
1,1,1,1,21.0,46.0,43.0,43.0,26.0,0
1,0,1,1,34.0,55.0,88.0,66.0,69.0,1
1,0,0,1,42.0,44.0,82.0,28.0,21.0,0
1,0,0,0,48.0,13.0,56.0,80.0,66.0,0
0,0,0,0,26.0,89.0,76.0,40.0,33.0,0
0,0,0,1,47.0,89.0,35.0,91.0,50.0,0
0,1,0,0,33.0,94.0,84.0,49.0,69.0,0
0,0,1,0,63.0,35.0,73.0,23.0,80.0,0
1,0,0,1,49.0,28.0,47.0,90.0,60.0,0
0,1,0,1,51.0,90.0,45.0,46.0,33.0,0
1,1,0,1,89.0,54.0,41.0,53.0,24.0,1
1,1,0,0,25.0,35.0,49.0,18.0,94.0,0
1,0,0,0,46.0,31.0,74.0,67.0,24.0,0
1,1,0,0,43.0,67.0,93.0,29.0,83.0,1
1,0,0,1,53.0,72.0,88.0,59.0,48.0,1
1,0,0,1,59.0,37.0,51.0,29.0,94.0,0
0,0,0,1,66.0,74.0,76.0,45.0,24.0,0
1,1,0,0,98.0,53.0,58.0,36.0,55.0,1
0,0,0,1,94.0,52.0,74.0,81.0,98.0,0
0,0,1,1,43.0,46.0,38.0,41.0,38.0,0
1,0,0,1,84.0,75.0,53.0,10.0,83.0,1
0,0,0,1,37.0,26.0,44.0,26.0,41.0,0
1,1,0,1,63.0,49.0,65.0,18.0,53.0,1
1,1,0,0,95.0,47.0,42.0,93.0,75.0,0
1,1,0,0,76.0,94.0,73.0,54.0,36.0,1
0,0,0,1,47.0,70.0,65.0,75.0,95.0,0
0,0,1,0,90.0,18.0,90.0,41.0,75.0,1
1,0,0,0,42.0,86.0,69.0,54.0,36.0,0
1,0,0,0,53.0,84.0,56.0,18.0,93.0,1
1,0,0,0,30.0,70.0,30.0,39.0,37.0,0
1,1,1,1,54.0,89.0,63.0,93.0,64.0,1
1,0,0,1,61.0,25.0,97.0,47.0,97.0,1
0,0,0,1,47.0,11.0,50.0,69.0,75.0,0
0,0,0,1,97.0,81.0,62.0,10.0,99.0,1
1,0,0,1,43.0,52.0,36.0,14.0,69.0,0
0,0,0,1,27.0,51.0,94.0,72.0,77.0,0
0,1,0,1,72.0,86.0,32.0,45.0,37.0,0
1,1,0,1,91.0,66.0,80.0,74.0,99.0,1
1,1,0,0,23.0,90.0,83.0,87.0,26.0,0
1,0,0,1,24.0,97.0,88.0,82.0,95.0,1
1,0,0,1,68.0,76.0,35.0,33.0,29.0,0
0,0,1,1,49.0,39.0,58.0,13.0,88.0,1
1,0,0,1,91.0,22.0,46.0,87.0,22.0,0
1,1,0,1,82.0,28.0,89.0,98.0,63.0,1
0,0,0,1,66.0,16.0,51.0,77.0,89.0,0
1,0,0,0,45.0,18.0,53.0,34.0,33.0,0
1,0,1,1,76.0,92.0,80.0,83.0,23.0,1
1,0,0,1,56.0,63.0,79.0,16.0,37.0,1
1,1,0,1,26.0,95.0,40.0,22.0,71.0,1
1,0,0,0,59.0,91.0,85.0,77.0,57.0,0
0,0,0,1,58.0,70.0,71.0,52.0,99.0,0
0,0,0,1,81.0,96.0,68.0,66.0,39.0,0
1,0,0,0,97.0,11.0,98.0,45.0,63.0,0
1,1,0,1,72.0,59.0,77.0,23.0,70.0,1
1,1,1,0,23.0,84.0,86.0,91.0,38.0,1
1,1,0,1,44.0,40.0,50.0,81.0,87.0,0
1,1,1,1,26.0,42.0,49.0,36.0,85.0,1
1,0,1,1,47.0,87.0,44.0,46.0,32.0,1
1,1,1,0,88.0,89.0,98.0,96.0,81.0,1
1,0,0,1,86.0,20.0,80.0,80.0,80.0,0
1,0,0,0,39.0,42.0,91.0,85.0,49.0,0
1,1,1,0,30.0,16.0,66.0,34.0,49.0,0
1,0,0,0,86.0,40.0,35.0,76.0,70.0,0
0,1,0,0,26.0,57.0,55.0,99.0,67.0,0
0,0,1,1,42.0,56.0,37.0,13.0,52.0,0
0,1,1,0,80.0,87.0,33.0,88.0,93.0,1
1,1,0,1,90.0,62.0,50.0,83.0,38.0,1
0,1,0,1,53.0,89.0,60.0,94.0,90.0,0
1,1,0,1,38.0,28.0,50.0,25.0,76.0,0
1,1,1,1,77.0,90.0,54.0,28.0,38.0,1
0,0,1,1,28.0,99.0,44.0,38.0,98.0,1
1,0,0,1,67.0,15.0,64.0,60.0,60.0,0
0,0,0,0,60.0,58.0,78.0,27.0,61.0,0
0,1,1,1,67.0,82.0,72.0,67.0,71.0,1
1,0,0,0,64.0,59.0,70.0,53.0,23.0,0
0,1,0,0,44.0,90.0,66.0,25.0,23.0,0
0,0,1,0,97.0,21.0,86.0,74.0,24.0,0
1,0,0,1,44.0,32.0,71.0,11.0,60.0,0
1,1,0,0,38.0,63.0,76.0,65.0,80.0,0
0,0,0,1,58.0,78.0,90.0,88.0,94.0,0
1,0,0,0,98.0,68.0,43.0,37.0,74.0,1
0,0,1,1,99.0,45.0,97.0,74.0,94.0,1
0,1,0,0,46.0,12.0,82.0,14.0,32.0,0
1,1,1,0,93.0,67.0,63.0,31.0,33.0,1
1,0,0,1,82.0,97.0,53.0,22.0,79.0,1
1,0,0,0,87.0,64.0,49.0,74.0,91.0,0
1,0,0,1,38.0,66.0,98.0,25.0,44.0,1
1,1,0,1,47.0,26.0,59.0,95.0,63.0,0
1,1,0,0,97.0,48.0,36.0,73.0,29.0,0
0,0,0,1,52.0,99.0,65.0,41.0,90.0,0
1,0,0,0,29.0,77.0,67.0,89.0,69.0,0
0,0,0,1,49.0,64.0,81.0,60.0,63.0,0
1,1,1,0,41.0,54.0,44.0,88.0,33.0,0
0,1,0,1,22.0,85.0,75.0,67.0,34.0,0
0,0,1,0,94.0,10.0,52.0,55.0,35.0,0
1,0,0,1,67.0,30.0,41.0,61.0,21.0,0
1,0,0,1,21.0,92.0,73.0,72.0,49.0,0
1,1,0,1,95.0,30.0,44.0,85.0,49.0,0
1,0,0,1,73.0,61.0,78.0,69.0,50.0,0
0,1,0,1,25.0,91.0,50.0,74.0,96.0,0
0,1,1,1,59.0,52.0,44.0,90.0,39.0,0
0,0,1,0,21.0,61.0,43.0,64.0,68.0,0
1,0,0,0,92.0,76.0,71.0,66.0,54.0,0
1,0,0,0,21.0,53.0,44.0,80.0,42.0,0
1,1,1,1,93.0,41.0,92.0,82.0,80.0,1
0,1,0,1,74.0,19.0,97.0,95.0,74.0,0
1,1,1,1,91.0,73.0,56.0,35.0,86.0,1
1,0,1,0,79.0,88.0,82.0,21.0,27.0,1
1,0,1,1,25.0,78.0,81.0,80.0,59.0,1
1,1,0,0,38.0,77.0,92.0,55.0,78.0,1
1,1,0,1,46.0,37.0,82.0,56.0,51.0,1
0,0,0,1,20.0,62.0,86.0,88.0,26.0,0
0,1,0,1,52.0,60.0,81.0,47.0,21.0,0
1,1,1,1,59.0,62.0,72.0,30.0,25.0,1
0,0,0,1,51.0,13.0,36.0,23.0,55.0,0
0,1,0,0,88.0,88.0,71.0,11.0,51.0,1
0,1,1,1,36.0,26.0,33.0,81.0,64.0,0
0,1,1,0,27.0,76.0,98.0,79.0,61.0,1
1,0,1,1,76.0,83.0,34.0,42.0,72.0,1
1,0,1,1,61.0,56.0,70.0,15.0,28.0,1
1,1,0,0,28.0,65.0,33.0,99.0,94.0,0
0,0,0,0,54.0,32.0,31.0,46.0,94.0,0
1,0,1,1,90.0,27.0,96.0,23.0,68.0,1
1,0,0,1,98.0,10.0,50.0,46.0,21.0,0
0,0,0,1,72.0,44.0,99.0,17.0,86.0,1
1,1,0,0,73.0,73.0,72.0,86.0,30.0,0
0,1,0,0,44.0,67.0,98.0,22.0,69.0,0
1,0,1,1,86.0,68.0,38.0,49.0,54.0,1
1,0,0,1,81.0,10.0,57.0,67.0,34.0,0
0,0,0,0,74.0,12.0,55.0,27.0,94.0,0
0,1,0,1,65.0,76.0,32.0,66.0,50.0,0
1,1,0,0,43.0,46.0,78.0,92.0,81.0,0
1,0,0,1,65.0,92.0,46.0,47.0,47.0,0
1,1,0,1,41.0,38.0,92.0,41.0,44.0,1
1,1,1,1,30.0,98.0,84.0,95.0,44.0,1
0,1,0,1,67.0,42.0,52.0,75.0,94.0,0
0,1,0,1,27.0,70.0,63.0,86.0,20.0,0
1,0,0,0,58.0,99.0,98.0,96.0,78.0,1
0,1,0,0,54.0,13.0,44.0,34.0,88.0,0
1,0,0,1,68.0,23.0,76.0,67.0,93.0,0
1,1,1,1,65.0,42.0,32.0,84.0,61.0,1
1,1,0,1,57.0,31.0,57.0,42.0,53.0,0
0,1,1,1,27.0,57.0,32.0,97.0,85.0,0
1,1,0,1,73.0,12.0,33.0,75.0,37.0,0
1,0,0,0,56.0,96.0,60.0,39.0,96.0,1
1,0,0,1,59.0,94.0,74.0,90.0,24.0,0
1,1,1,1,53.0,32.0,88.0,43.0,39.0,1
0,1,0,1,98.0,77.0,74.0,95.0,85.0,1
1,0,0,1,36.0,30.0,66.0,78.0,94.0,0
1,0,0,0,52.0,52.0,94.0,57.0,81.0,0
0,0,0,1,66.0,94.0,38.0,49.0,51.0,0
0,1,0,1,71.0,35.0,46.0,60.0,77.0,0
0,1,0,1,99.0,50.0,94.0,89.0,69.0,1
0,0,0,0,28.0,47.0,32.0,22.0,57.0,0
0,0,0,0,52.0,97.0,55.0,99.0,74.0,0
1,1,0,0,79.0,20.0,82.0,40.0,47.0,0
0,1,1,0,96.0,38.0,60.0,48.0,93.0,1
0,0,1,1,40.0,69.0,55.0,72.0,41.0,0
1,0,1,1,77.0,76.0,52.0,57.0,62.0,1
0,0,0,1,88.0,74.0,59.0,96.0,55.0,0
1,0,0,1,29.0,70.0,39.0,57.0,71.0,0
0,0,0,1,25.0,28.0,93.0,70.0,55.0,0
0,1,0,0,32.0,55.0,51.0,21.0,47.0,0
1,1,0,1,84.0,58.0,44.0,87.0,97.0,1
1,1,0,1,39.0,31.0,85.0,65.0,77.0,1
1,1,0,0,76.0,87.0,49.0,27.0,55.0,1
1,0,0,0,65.0,66.0,76.0,36.0,89.0,1
1,0,1,1,27.0,23.0,82.0,37.0,28.0,0
0,0,0,1,29.0,53.0,82.0,91.0,40.0,0
0,0,0,1,92.0,25.0,30.0,89.0,83.0,0
1,1,0,0,86.0,86.0,31.0,61.0,95.0,1
1,1,0,1,30.0,21.0,87.0,25.0,80.0,1
1,0,0,1,31.0,64.0,48.0,86.0,59.0,0
1,0,1,0,29.0,60.0,91.0,67.0,75.0,1
0,1,1,1,44.0,48.0,41.0,18.0,23.0,0
1,0,0,0,68.0,42.0,55.0,35.0,50.0,0
0,0,1,1,68.0,42.0,56.0,37.0,46.0,0
1,1,1,0,30.0,38.0,58.0,86.0,77.0,0
1,1,1,0,81.0,78.0,44.0,45.0,44.0,1
1,0,1,0,55.0,79.0,75.0,18.0,88.0,1
1,0,0,0,58.0,40.0,30.0,56.0,89.0,0
1,1,0,1,72.0,89.0,89.0,87.0,24.0,1
0,0,0,0,97.0,40.0,86.0,60.0,27.0,0
1,0,0,1,75.0,98.0,32.0,85.0,28.0,0
1,1,1,0,20.0,55.0,47.0,66.0,34.0,0
1,0,0,1,75.0,86.0,81.0,41.0,26.0,1
0,1,1,1,23.0,61.0,89.0,76.0,91.0,1
1,0,1,0,49.0,19.0,63.0,66.0,34.0,0
0,1,1,1,31.0,97.0,89.0,63.0,56.0,1
0,0,1,0,54.0,83.0,55.0,25.0,58.0,0
1,0,0,1,96.0,50.0,48.0,71.0,25.0,0
0,0,0,1,71.0,86.0,51.0,93.0,76.0,0
0,0,0,1,50.0,12.0,62.0,65.0,38.0,0
1,1,0,1,87.0,68.0,67.0,32.0,82.0,1
1,1,0,1,71.0,61.0,64.0,26.0,50.0,1
1,0,0,0,99.0,43.0,96.0,89.0,94.0,1
1,0,1,0,26.0,58.0,39.0,47.0,98.0,0
1,1,0,1,41.0,37.0,44.0,81.0,29.0,0
0,1,0,1,94.0,92.0,40.0,92.0,86.0,1
0,0,0,1,75.0,96.0,53.0,39.0,81.0,0
1,0,0,1,77.0,22.0,33.0,67.0,22.0,0
1,0,0,1,83.0,78.0,42.0,87.0,37.0,0
1,1,1,1,31.0,76.0,86.0,31.0,44.0,1
1,0,0,1,26.0,70.0,66.0,26.0,39.0,0
0,1,1,1,74.0,69.0,77.0,24.0,77.0,1
1,0,0,1,81.0,80.0,30.0,57.0,69.0,0
0,1,1,0,92.0,33.0,89.0,41.0,98.0,1
1,0,0,0,96.0,72.0,41.0,86.0,29.0,0
1,0,0,1,74.0,95.0,50.0,94.0,40.0,0
1,0,0,0,55.0,70.0,40.0,49.0,48.0,0
0,1,1,1,43.0,32.0,73.0,66.0,29.0,0
0,0,0,1,63.0,39.0,87.0,67.0,32.0,0
0,0,0,1,36.0,69.0,73.0,25.0,66.0,0
1,0,1,1,21.0,27.0,63.0,37.0,42.0,0
1,0,1,1,32.0,65.0,54.0,10.0,69.0,1
0,1,0,1,50.0,62.0,33.0,50.0,23.0,0
0,1,1,1,47.0,16.0,93.0,57.0,86.0,1
1,1,0,1,79.0,78.0,45.0,40.0,72.0,1
0,0,0,1,46.0,81.0,39.0,45.0,21.0,0
1,1,0,1,34.0,88.0,95.0,42.0,87.0,1
1,0,1,1,98.0,61.0,64.0,42.0,84.0,1
0,0,1,1,52.0,13.0,35.0,91.0,98.0,0
0,0,0,1,39.0,43.0,48.0,32.0,76.0,0
1,0,0,1,61.0,78.0,88.0,69.0,89.0,1
0,1,0,1,31.0,42.0,82.0,96.0,26.0,0
0,1,1,1,92.0,78.0,37.0,88.0,38.0,1
1,1,1,1,42.0,47.0,39.0,99.0,63.0,1
1,0,0,1,91.0,35.0,96.0,39.0,82.0,1
1,0,1,1,33.0,10.0,67.0,98.0,84.0,0
1,0,1,1,44.0,13.0,58.0,54.0,58.0,0
0,0,0,1,96.0,48.0,44.0,89.0,45.0,0
0,0,0,1,50.0,63.0,52.0,48.0,63.0,0
1,0,0,1,73.0,99.0,75.0,54.0,31.0,1
1,0,0,0,24.0,42.0,57.0,87.0,41.0,0
1,0,0,1,32.0,42.0,55.0,90.0,96.0,0
1,1,0,1,47.0,81.0,39.0,21.0,33.0,1
0,1,1,1,62.0,29.0,76.0,41.0,49.0,1
1,1,0,1,66.0,25.0,33.0,65.0,63.0,0
0,1,0,1,90.0,30.0,84.0,33.0,57.0,1
1,0,0,1,57.0,54.0,95.0,22.0,78.0,1
0,1,0,0,86.0,99.0,96.0,29.0,61.0,1
0,1,0,1,81.0,96.0,36.0,88.0,71.0,0
0,0,0,1,58.0,91.0,84.0,65.0,82.0,0
1,0,0,0,56.0,71.0,60.0,62.0,80.0,0
1,1,0,0,27.0,40.0,48.0,77.0,53.0,0
